Freq.	V(vout)
1.72676517840714e-01	2.01277677831270e-01,5.51374756147121e-01
1.73877578004175e-01	2.03783829330603e-01,5.54336267291590e-01
1.75086992201724e-01	2.06317361358417e-01,5.57302681481439e-01
1.76304818540263e-01	2.08878477515344e-01,5.60273784446732e-01
1.77531115530861e-01	2.11467380494709e-01,5.63249357542520e-01
1.78765942091561e-01	2.14084272007642e-01,5.66229177717808e-01
1.80009357550215e-01	2.16729352706726e-01,5.69213017485542e-01
1.81261421647333e-01	2.19402822108175e-01,5.72200644893660e-01
1.82522194538953e-01	2.22104878512547e-01,5.75191823497255e-01
1.83791736799531e-01	2.24835718924003e-01,5.78186312331897e-01
